Datetime,Leg,Team,OBR,Video,Length,People,Description,Tags
2017-10-24 16:29:57,1,Turn the Tide on Plastic,Jen Edney,"=HYPERLINK(""https://volvooceanrace-2017-18.s3.amazonaws.com/videos/cropped/m104889_13-01-171024-ttt-00004_HD.mp4"", IMAGE(""https://volvooceanrace-2017-18.s3.amazonaws.com/videos/cropped/thumb/m104889_13-01-171024-ttt-00004_00001_480x270.jpg""))",,,,
2017-10-24 15:44:05,1,MAPFRE,Ugo Fonollá,"=HYPERLINK(""https://volvooceanrace-2017-18.s3.amazonaws.com/videos/cropped/m104876_13-01-171024-mpf-ugf-00002_HD.mp4"", IMAGE(""https://volvooceanrace-2017-18.s3.amazonaws.com/videos/cropped/thumb/m104876_13-01-171024-mpf-ugf-00002_00002_480x270.jpg""))",,,,
2017-10-24 14:39:52,1,Dongfeng Race Team,Richard Edwards,"=HYPERLINK(""https://volvooceanrace-2017-18.s3.amazonaws.com/videos/cropped/m104864_13-01-171024-dfg-00004_HD.mp4"", IMAGE(""https://volvooceanrace-2017-18.s3.amazonaws.com/videos/cropped/thumb/m104864_13-01-171024-dfg-00004_00002_480x270.jpg""))",,,,
2017-10-24 14:00:32,1,Vestas 11th Hour Racing,James Blake,"=HYPERLINK(""https://volvooceanrace-2017-18.s3.amazonaws.com/videos/cropped/m104859_13-01-171024-veh-00002_HD.mp4"", IMAGE(""https://volvooceanrace-2017-18.s3.amazonaws.com/videos/cropped/thumb/m104859_13-01-171024-veh-00002_00002_480x270.jpg""))",,,,
2017-10-24 13:47:19,1,Team Brunel,Martin Keruzoré,"=HYPERLINK(""https://volvooceanrace-2017-18.s3.amazonaws.com/videos/cropped/m104850_13-01-171024-bnl-00002_HD.mp4"", IMAGE(""https://volvooceanrace-2017-18.s3.amazonaws.com/videos/cropped/thumb/m104850_13-01-171024-bnl-00002_00002_480x270.jpg""))",,,,
2017-10-24 13:44:33,1,Sun Hung Kai/Scallywag,Jeremie Lecaudey,"=HYPERLINK(""https://volvooceanrace-2017-18.s3.amazonaws.com/videos/cropped/m104851_13-01-171024-shk-00001_HD.mp4"", IMAGE(""https://volvooceanrace-2017-18.s3.amazonaws.com/videos/cropped/thumb/m104851_13-01-171024-shk-00001_00002_480x270.jpg""))",,,,
2017-10-24 13:02:43,1,team AkzoNobel,Konrad Frost,"=HYPERLINK(""https://volvooceanrace-2017-18.s3.amazonaws.com/videos/cropped/m104848_13-01-171024-azn-00004_HD.mp4"", IMAGE(""https://volvooceanrace-2017-18.s3.amazonaws.com/videos/cropped/thumb/m104848_13-01-171024-azn-00004_00002_480x270.jpg""))",,,,
2017-10-24 11:56:37,1,Turn the Tide on Plastic,Jen Edney,"=HYPERLINK(""https://volvooceanrace-2017-18.s3.amazonaws.com/videos/cropped/m104835_13-01-171024-ttt-00003_HD.mp4"", IMAGE(""https://volvooceanrace-2017-18.s3.amazonaws.com/videos/cropped/thumb/m104835_13-01-171024-ttt-00003_00002_480x270.jpg""))",,,,
2017-10-24 11:52:46,1,Team Brunel,Martin Keruzoré,"=HYPERLINK(""https://volvooceanrace-2017-18.s3.amazonaws.com/videos/cropped/m104834_13-01-171024-bnl-00001_HD.mp4"", IMAGE(""https://volvooceanrace-2017-18.s3.amazonaws.com/videos/cropped/thumb/m104834_13-01-171024-bnl-00001_00002_480x270.jpg""))",,,,
2017-10-24 11:14:34,1,MAPFRE,Ugo Fonollá,"=HYPERLINK(""https://volvooceanrace-2017-18.s3.amazonaws.com/videos/cropped/m104833_13-01-171024-mpf-ugf-00001_HD.mp4"", IMAGE(""https://volvooceanrace-2017-18.s3.amazonaws.com/videos/cropped/thumb/m104833_13-01-171024-mpf-ugf-00001_00002_480x270.jpg""))",,,,
